model,rmse,mae,mape
XGBoost,7.712696991666009,5.9538493156433105,13.012071915297502
Random Forest,8.241175838927973,6.301056939963742,13.689299706980021
Linear Regression,9.274667733581918,7.058835235786186,15.454831716458031
Naive (lag_7),12.050653058255175,9.076326086956522,19.916953914122494
